policyID,county,hu_site_limit,fr_site_limit,tiv_2012,hu_site_deductible
119736,CLAY COUNTY,498960,498960,792148.9,9979.2
448094,CLAY COUNTY,1322376.3,1322376.3,1438163.57,0
206893,CLAY COUNTY,190724.4,190724.4,192476.78,0
333743,CLAY COUNTY,79520.76,0,86854.48,0
172534,CLAY COUNTY,254281.5,254281.5,246144.49,0
785275,CLAY COUNTY,515035.62,0,884419.17,0
995932,CLAY COUNTY,19260000,0,20610000,0
223488,CLAY COUNTY,328500,328500,348374.25,16425
433512,CLAY COUNTY,315000,315000,265821.57,15750
142071,CLAY COUNTY,705600,705600,1010842.56,35280
253816,CLAY COUNTY,831498.3,831498.3,1117791.48,0
894922,CLAY COUNTY,24059.09,0,33952.19,0
422834,CLAY COUNTY,48115.94,0,66755.39,0
582721,CLAY COUNTY,28869.12,0,42826.99,0
842700,CLAY COUNTY,56135.64,0,50656.8,0
874333,CLAY COUNTY,48115.94,0,67905.07,0
580146,CLAY COUNTY,48115.94,0,66938.9,0
456149,CLAY COUNTY,80192.49,0,86421.04,0
767862,CLAY COUNTY,48115.94,0,73798.5,0
353022,CLAY COUNTY,60946.79,0,62467.29,0
367814,CLAY COUNTY,28869.12,0,42727.74,0
671392,CLAY COUNTY,13410000,0,11700000,0
772887,CLAY COUNTY,1669113.93,0,2099127.76,0
983122,CLAY COUNTY,179562.23,0,211372.57,0
934215,CLAY COUNTY,177744.16,0,157171.16,0
385951,CLAY COUNTY,17757.58,0,16948.72,0
716332,CLAY COUNTY,130129.87,0,101758.43,0
751262,CLAY COUNTY,42854.77,0,63592.88,0
633663,CLAY COUNTY,785.58,0,662.18,0
105851,CLAY COUNTY,170361.91,0,177176.38,0
710400,CLAY COUNTY,1430.89,0,1861.41,0
703001,CLAY COUNTY,129913.27,0,101692.86,0
352792,CLAY COUNTY,366285.62,0,507164.19,0
717603,CLAY COUNTY,22512.61,0,28637.17,0
